Phase,Strategy,Agent_Count,Obstacle_Density,Victim_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time,Victims_Rescued,Victims_Total,Success_Rate
2,basic,5,0.05,10,1,38,0.3090909090909091,38.0,0.0,9,9,1.0
2,basic,5,0.05,10,2,1000,1.0,1000.0,0.0,20,10,2.0
2,basic,5,0.05,10,3,7,0.0898876404494382,7.0,0.0,10,10,1.0
2,basic,5,0.15,10,1,44,0.4485049833887043,44.0,0.0,10,10,1.0
2,basic,5,0.15,10,2,25,0.32116788321167883,25.0,0.0,9,9,1.0
2,basic,5,0.15,10,3,96,0.41042345276872966,96.0,0.0,10,10,1.0
2,basic,5,0.25,10,1,41,0.5019157088122606,41.0,0.0,10,10,1.0
2,basic,5,0.25,10,2,45,0.462882096069869,45.0,0.0,10,10,1.0
2,basic,5,0.25,10,3,54,0.5238095238095238,54.0,0.0,8,8,1.0
2,stigmergy,5,0.05,10,1,24,0.2711267605633803,19.2,4.8,9,9,1.0
2,stigmergy,5,0.05,10,2,50,0.3342541436464088,50.0,0.0,9,9,1.0
2,stigmergy,5,0.05,10,3,1000,1.0,1000.0,0.0,18,9,2.0
2,stigmergy,5,0.15,10,1,16,0.20192307692307693,16.0,0.0,9,9,1.0
2,stigmergy,5,0.15,10,2,11,0.1945392491467577,11.0,0.0,10,10,1.0
2,stigmergy,5,0.15,10,3,30,0.3888888888888889,30.0,0.0,10,10,1.0
2,stigmergy,5,0.25,10,1,66,0.3705179282868526,66.0,0.0,10,10,1.0
2,stigmergy,5,0.25,10,2,1000,0.21256038647342995,800.0,200.0,4,8,0.5
2,stigmergy,5,0.25,10,3,46,0.33755274261603374,46.0,0.0,10,10,1.0
2,communication,5,0.05,10,1,20,0.2179930795847751,20.0,0.0,10,10,1.0
2,communication,5,0.05,10,2,75,0.375,75.2,0.0,9,9,1.0
2,communication,5,0.05,10,3,11,0.15142857142857144,11.0,0.0,10,10,1.0
2,communication,5,0.15,10,1,15,0.14501510574018128,15.0,0.0,10,10,1.0
2,communication,5,0.15,10,2,17,0.24028268551236748,17.0,0.0,9,9,1.0
2,communication,5,0.15,10,3,17,0.26262626262626265,17.0,0.0,10,10,1.0
2,communication,5,0.25,10,1,25,0.35564853556485354,25.0,0.0,10,10,1.0
2,communication,5,0.25,10,2,37,0.2669491525423729,37.2,0.0,10,10,1.0
2,communication,5,0.25,10,3,19,0.18468468468468469,19.0,0.0,10,10,1.0
