Strategy,Agent_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time
stigmergy,3,1,268,0.7830882352941176,268.0,0.0
stigmergy,3,2,162,0.5150501672240803,162.0,0.0
stigmergy,3,3,160,0.6292517006802721,160.0,0.0
stigmergy,3,4,638,0.8901098901098901,425.3333333333333,212.66666666666666
stigmergy,3,5,449,0.7391304347826086,449.0,0.0
stigmergy,5,1,192,0.734375,192.0,0.0
stigmergy,5,2,47,0.5300353356890459,47.0,0.0
stigmergy,5,3,125,0.7455830388692579,125.0,0.0
stigmergy,5,4,92,0.7411347517730497,92.0,0.0
stigmergy,5,5,1000,0.9124087591240876,1000.0,0.0
stigmergy,10,1,229,0.8880866425992779,229.0,0.0
stigmergy,10,2,27,0.5492957746478874,27.0,0.0
stigmergy,10,3,72,0.7562724014336918,72.0,0.0
stigmergy,10,4,45,0.6985294117647058,45.0,0.0
stigmergy,10,5,88,0.7525773195876289,88.0,0.0
