Strategy,Agent_Count,Trial,Completion_Time,Coverage,Avg_Path_Length,Avg_Idle_Time
stigmergy,3,1,589,0.9153605015673981,589.0,0.0
stigmergy,3,2,28,0.24397590361445784,28.0,0.0
stigmergy,3,3,209,0.5963302752293578,209.0,0.0
stigmergy,3,4,642,0.921875,642.0,0.0
stigmergy,3,5,311,0.8242811501597445,311.0,0.0
stigmergy,5,1,1000,0.9873417721518988,1000.0,0.0
stigmergy,5,2,1000,0.9873015873015873,1000.0,0.0
stigmergy,5,3,226,0.7723076923076924,226.0,0.0
stigmergy,5,4,35,0.48297213622291024,35.0,0.0
stigmergy,5,5,42,0.5078864353312302,42.0,0.0
stigmergy,10,1,15,0.3951367781155015,15.0,0.0
stigmergy,10,2,144,0.8498402555910544,129.6,14.4
stigmergy,10,3,146,0.9141104294478528,146.0,0.0
stigmergy,10,4,19,0.41590214067278286,19.0,0.0
stigmergy,10,5,384,0.9577922077922078,384.0,0.0
